S No,Venue,Venue Code,City,State,State Code,Name of Course Coordinator
116,"Shrikishan Somani School, Latur",IAP-CPR-Day/Venue/MH-105,Latur,Maharashtra,MH,Dr Deepika Mashalkar
117,"N.K. Desai College, Killa-Pardi",IAP-CPR-Day/Venue/MH-106,Mumbai,Maharashtra,MH,Dr Rajesh Kasla
118,Ashoka Medicover Hospital,IAP-CPR-Day/Venue/MH-107,Nashik,Maharashtra,MH,Dr Tripti Harshad Mahatme
119,Ashoka Medicover Hospital,IAP-CPR-Day/Venue/MH-108,Nashik,Maharashtra,MH,Dr Tripti Harshad Mahatme
120,"Civil Hospital / Maharashtra Postgraduate Institute of Medical Education & Research, Nashik",IAP-CPR-Day/Venue/MH-109,Nashik,Maharashtra,MH,Dr Avinash Gore
121,"Dr. Vasantrao Pawar Medical College, Hospital and Research Centre, Nashik",IAP-CPR-Day/Venue/MH-110,Nashik,Maharashtra,MH,Dr Rahul Koppikar
122,"K.K. Wagh College of Agriculture, Nashik",IAP-CPR-Day/Venue/MH-111,Nashik,Maharashtra,MH,Dr Tripti Harshad Mahatme
123,"Mvps'S Shri Chhatrapati Shivaji Maharaj Madhyamik Ani Uchhmadhyamik Vidyalay, Makhmalabad, Nashik",IAP-CPR-Day/Venue/MH-112,Nashik,Maharashtra,MH,Dr Rahul Koppikar
124,"Smbt Institute of Medical Sciences & Research Centre, Nashik",IAP-CPR-Day/Venue/MH-113,Nashik,Maharashtra,MH,Dr Prasanna Parashare
125,"District Hospital and Mpgimer, Nashik",IAP-CPR-Day/Venue/MH-114,Nasik,Maharashtra,MH,Dr Ishwar Vijay Gadhari
126,ITM Panvel,IAP-CPR-Day/Venue/MH-115,Navi Mumbai,Maharashtra,MH,Dr Jeeten; Dr A Gavhane
127,Mgm MEDICAL COLLEGE,IAP-CPR-Day/Venue/MH-116,Navi Mumbai,Maharashtra,MH,Dr Anjali Otiv
128,Panvel City Police Station,IAP-CPR-Day/Venue/MH-117,Navi Mumbai,Maharashtra,MH,Dr Jeeten; Dr A Gavhane
129,"B.J. Government Medical College, Pune",IAP-CPR-Day/Venue/MH-118,Pune,Maharashtra,MH,Dr Rahul Dawre
130,"Swami Vivekanand Cbse School, Uruli Kanchan",IAP-CPR-Day/Venue/MH-119,Pune,Maharashtra,MH,Dr Ankita Agrawal
131,"Bethany Hospital, Thane",IAP-CPR-Day/Venue/MH-120,Thane,Maharashtra,MH,Diana Raheesh
132,"Multipurpose Hall, Currae Hospital, Thane",IAP-CPR-Day/Venue/MH-121,Thane,Maharashtra,MH,Dr Archana Kavalakkat
133,"K.K. Wagh College of Food Technology, Nashik",IAP-CPR-Day/Venue/MH-122,Yavatmal,Maharashtra,MH,Dr Aieshwarya Pradhan; Dr Tripti Harshad Mahatme
134,Mahatma Jyotiba Phule College,IAP-CPR-Day/Venue/MH-123,Yavatmal,Maharashtra,MH,Dr Aieshwarya Pradhan
135,"Power Up Gym, Yavatmal",IAP-CPR-Day/Venue/MH-124,Yavatmal,Maharashtra,MH,Dr Vishal Chavan
136,"Mawroh Secondary School, Shillong",IAP-CPR-Day/Venue/ML-101,Shillong,Meghalaya,ML,Dr Hunsi Giri
137,"Nazareth Hospital, Shillong",IAP-CPR-Day/Venue/ML-102,Shillong,Meghalaya,ML,Dr Palash Ranjan Gogoi
138,"Ratson Arena Football Ground, Shillong",IAP-CPR-Day/Venue/ML-103,Shillong,Meghalaya,ML,Dr Palash Ranjan Gogoi
139,Shillong Medical College,IAP-CPR-Day/Venue/ML-104,Shillong,Meghalaya,ML,Dr Hunsi Giri
140,Shillong Polytechnic College,IAP-CPR-Day/Venue/ML-105,Shillong,Meghalaya,ML,Dr Hunsi Giri
141,St. Margaret'S Higher Secondary School,IAP-CPR-Day/Venue/ML-106,Shillong,Meghalaya,ML,Dr Santanu Deb
142,Bhubaneswar Municipal Corporation Office,IAP-CPR-Day/Venue/OD-101,Bhubaneswar,Odisha,OD,Dr Isha Panda
143,Pm Shri Kendriya Vidyalaya,IAP-CPR-Day/Venue/OD-102,Cuttack,Odisha,OD,Dr Sarthak Naik
144,"Pm Shri Kendriya Vidyalaya No. 1, Cda, Cuttack",IAP-CPR-Day/Venue/OD-103,Cuttack,Odisha,OD,Dr Sarthak Naik
145,"Rabindra Vidya Niketan, Keonjhar",IAP-CPR-Day/Venue/OD-104,Keonjhar,Odisha,OD,Dr Narayan Santuka
146,Jawahar Navodaya Vidyalaya,IAP-CPR-Day/Venue/OD-105,Sambalpur,Odisha,OD,Mrs Namita Tripathy
147,"Kalinga Institute of Social Sciences, Bhubaneswar",IAP-CPR-Day/Venue/OD-106,Bhubaneswar,Odisha,OD,Dr Mirabai Dass
148,"Sri Guru Ram Das Institute of Medical Sciences & Research, Amritsar",IAP-CPR-Day/Venue/PB-101,Amritsar,Punjab,PB,Dr Gursharan Singh Narang
149,Sri Guru Ram Das University of Health Sciences,IAP-CPR-Day/Venue/PB-102,Amritsar,Punjab,PB,Dr Savita Rani; Dr Khushwant Kaur
150,Jalandhar Public School,IAP-CPR-Day/Venue/PB-103,Jalandhar,Punjab,PB,Dr Anuradha Bansal
151,St.George'S Convent School,IAP-CPR-Day/Venue/PB-104,Jalandhar,Punjab,PB,Dr Jatinder Singh
152,"Dav Public School, Brs Nagar, Ludhiana",IAP-CPR-Day/Venue/PB-105,Ludhiana,Punjab,PB,Dr Gs Dhooria
153,Mount International School,IAP-CPR-Day/Venue/PB-106,Ludhiana,Punjab,PB,Dr Sujata Bhatti
154,"Mountview International School, Ludhiana",IAP-CPR-Day/Venue/PB-107,Ludhiana,Punjab,PB,Dr Sujata Bhatti
155,"Ryan International School, Ludhiana",IAP-CPR-Day/Venue/PB-108,Ludhiana,Punjab,PB,Dr Nidhie Shajan
156,"Springdale School, Ludhiana",IAP-CPR-Day/Venue/PB-109,Ludhiana,Punjab,PB,Dr Sujata Bhatti
157,"Sutlej Club, Ludhiana",IAP-CPR-Day/Venue/PB-110,Ludhiana,Punjab,PB,Dr Sumati Verma
158,"Dav Public School, Sunam",IAP-CPR-Day/Venue/PB-111,Sunam,Punjab,PB,Dr Sumeet Bansal
159,"Model Basic High School, Sunam",IAP-CPR-Day/Venue/PB-112,Sunam,Punjab,PB,Dr Sumeet Bansal
160,Jindal Super Speciality Hospital,IAP-CPR-Day/Venue/RJ-101,Bharatpur,Rajasthan,RJ,Dr Kapil Jindal
161,"Mahila Chikitsalaya, Sanganeri Gate, Jaipur",IAP-CPR-Day/Venue/RJ-102,Jaipur,Rajasthan,RJ,Dr Neha Aggarwal
162,Agrawal Hospital,IAP-CPR-Day/Venue/RJ-103,Tonk,Rajasthan,RJ,Dr Neha Aggarwal
163,"New Stnm Hospital, Gangtok",IAP-CPR-Day/Venue/SK-101,Gangtok,Sikkim,SK,Dr Tsultem Doma Bhutia
164,"Elango Corporation Higher Secondary School, Madurai",IAP-CPR-Day/Venue/TN-101,Madurai,Tamil Nadu,TN,Lenin Mr
165,"Grh Auditorium, Madurai Medical College",IAP-CPR-Day/Venue/TN-102,Madurai,Tamil Nadu,TN,M R Lenin
166,Adhiparasakthi College of Physiotherapy,IAP-CPR-Day/Venue/TN-103,Melmaruvathur,Tamil Nadu,TN,Dr V Sivagamasundari
167,Adhiparasakthi Matriculation Higher Secondary School,IAP-CPR-Day/Venue/TN-104,Melmaruvathur,Tamil Nadu,TN,Dr V Sivagamasundari
168,G.B.Public School,IAP-CPR-Day/Venue/TN-105,Melmaruvathur,Tamil Nadu,TN,Dr V Sivagamasundari
169,Lakshmi Bangaru Arts and Science College,IAP-CPR-Day/Venue/TN-106,Melmaruvathur,Tamil Nadu,TN,Dr V Sivagamasundari
170,Cmr International School,IAP-CPR-Day/Venue/TG-101,Hyderabad,Telangana,TG,Dr Suma Priya
171,Gitanjali Devshala,IAP-CPR-Day/Venue/TG-102,Hyderabad,Telangana,TG,Dr Suresh Kumar Panuganti
