SNo,AIR,QuotaRaw,Institute,AllottedCategory,CandidateCategory
21896,424585,Self-Financed Merit,"Chettinad Hospital & Research Institute, Kanchipuram,Rajiv Gandhi Salai,",Open,General
21897,424589,Self-Financed Merit,"Faculty of Medicine , Sri Lalithambigai Medical College and Hospital,Faculty of Medicine",Open,OBC
21898,424644,Self-Financed Merit,"Malla Reddy Institute of Medical Sciences, Hyderabad,Suraram X Roads Jeedimetla",Open,General
21899,424801,Self-Financed Merit,"Raja Rajeswari Medical College & Hospital, Bangalore,202, Kambipura, Bengaluru",Open,OBC
21900,424815,Self-Financed Merit,"Malla Reddy Institute of Medical Sciences, Hyderabad,Suraram X Roads Jeedimetla",Open,OBC
21901,424845,Self-Financed Merit,"Raja Rajeswari Medical College & Hospital, Bangalore,202, Kambipura, Bengaluru",Open,General
21902,424940,Self-Financed Merit,"Saveetha Medical College and Hospital, Kanchipuram,Saveetha Nagar, Thandalam,",Open,OBC
21903,424969,Self-Financed Merit,"Bharati Vidyapeeth University Medical College, Pune,Dhankawadi, Pune-Satara Road,",Open,General
21904,425043,Self-Financed Merit,"Mallareddy Medical College for Women, Hyderabad,Suraram X Roads Jeedimetla",Open,OBC
21906,425130,Self-Financed Merit,"GITAM Institute of Medical Sciences and Research, Visakhapatnam,Gandhi Institute of",Open,General
21907,425264,Self-Financed Merit,"Malla Reddy Institute of Medical Sciences, Hyderabad,Suraram X Roads Jeedimetla",Open,OBC
21908,425377,Self-Financed Merit,"Mallareddy Medical College for Women, Hyderabad,Suraram X Roads Jeedimetla",Open,OBC
21910,425422,Self-Financed Merit,"Dr. D Y Patil Medical College, Kolhapur,869, E Ward, D. Y. Patil Vidyanagar, Kasaba",Open,OBC
21911,425446,Self-Financed Merit,"Chettinad Hospital & Research Institute, Kanchipuram,Rajiv Gandhi Salai,",Open,General
21912,425457,Self-Financed Merit,"Krishna Institute of Medical Sciences, Karad,KARAD, DIST. SATARA (MAHARASHTRA",Open,EWS
21913,425500,Self-Financed Merit,"Krishna Institute of Medical Sciences, Karad,KARAD, DIST. SATARA (MAHARASHTRA",Open,General
21914,425519,Self-Financed Merit,"Malla Reddy Institute of Medical Sciences, Hyderabad,Suraram X Roads Jeedimetla",Open,General
21915,425552,Self-Financed Merit,"Graphic Era Institute of Medical Sciences Dehradun, Uttrakhand,Graphic Era Institute of",Open,General
21918,425605,Self-Financed Merit,"Jawaharlal Nehru Medical College, Sawangi (Meghe), Wardha,Sawangi (Meghe),",Open,OBC
21919,425700,Self-Financed Merit,"Saveetha Medical College and Hospital, Kanchipuram,Saveetha Nagar, Thandalam,",Open,OBC
21920,425755,Self-Financed Merit,"Chettinad Institute of Medical Education and Research,D.K Plantation, BEML Nagar,",Open,OBC
21921,425874,Self-Financed Merit,"Saveetha Medical College and Hospital, Kanchipuram,Saveetha Nagar, Thandalam,",Open,OBC
21923,426181,All India,"Dumka Medical College, Dighi Dumka,PHULO JHANO MEDICAL COLLEGE DUMKA,",OBC PwD,OBC PwD
21924,426249,Self-Financed Merit,"Meenakshi Medical College and Research Institute, Enathur,Enathur, Karaipettai Post,",Open,OBC
