State,InstituteType,MCCCode,MCCInstitute,Quota,SeatCategory,SeatsOfferedR1,SeatsAllottedR1,NetDifference,FillRate,BestAIR,Q1AIR,MedianAIR,Q3AIR,HighestAIR
Jammu And Kashmir,All India Institute Of Medical Science(AIIMS),200518,"AIIMS Jammu, AIIMS, Vijaypur, Jammu, Jammu and Kashmir",Open Seat Quota,EWS,11,11,0,1.0,3423,4076.0,4288.0,4404.5,4748
Jammu And Kashmir,All India Institute Of Medical Science(AIIMS),200518,"AIIMS Jammu, AIIMS, Vijaypur, Jammu, Jammu and Kashmir",Open Seat Quota,EWS PwD,1,1,0,1.0,388651,388651.0,388651.0,388651.0,388651
Jammu And Kashmir,All India Institute Of Medical Science(AIIMS),200518,"AIIMS Jammu, AIIMS, Vijaypur, Jammu, Jammu and Kashmir",Open Seat Quota,OBC,32,32,0,1.0,3361,3462.0,3560.5,3693.5,3834
Jammu And Kashmir,All India Institute Of Medical Science(AIIMS),200518,"AIIMS Jammu, AIIMS, Vijaypur, Jammu, Jammu and Kashmir",Open Seat Quota,OBC PwD,2,2,0,1.0,288343,292926.25,297509.5,302092.75,306676
Jammu And Kashmir,All India Institute Of Medical Science(AIIMS),200518,"AIIMS Jammu, AIIMS, Vijaypur, Jammu, Jammu and Kashmir",Open Seat Quota,Open,49,49,0,1.0,1463,2630.0,3054.0,3191.0,3327
Jammu And Kashmir,All India Institute Of Medical Science(AIIMS),200518,"AIIMS Jammu, AIIMS, Vijaypur, Jammu, Jammu and Kashmir",Open Seat Quota,Open PwD,1,1,0,1.0,239506,239506.0,239506.0,239506.0,239506
Jammu And Kashmir,All India Institute Of Medical Science(AIIMS),200518,"AIIMS Jammu, AIIMS, Vijaypur, Jammu, Jammu and Kashmir",Open Seat Quota,SC,18,18,0,1.0,15771,22616.5,25519.0,26673.25,27322
Jammu And Kashmir,All India Institute Of Medical Science(AIIMS),200518,"AIIMS Jammu, AIIMS, Vijaypur, Jammu, Jammu and Kashmir",Open Seat Quota,SC PwD,1,1,0,1.0,653328,653328.0,653328.0,653328.0,653328
Jammu And Kashmir,All India Institute Of Medical Science(AIIMS),200518,"AIIMS Jammu, AIIMS, Vijaypur, Jammu, Jammu and Kashmir",Open Seat Quota,ST,9,9,0,1.0,8631,15824.0,26371.0,33468.0,34696
Jammu And Kashmir,All India Institute Of Medical Science(AIIMS),200518,"AIIMS Jammu, AIIMS, Vijaypur, Jammu, Jammu and Kashmir",Open Seat Quota,ST PwD,1,1,0,1.0,490090,490090.0,490090.0,490090.0,490090
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),200510,"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH",Open Seat Quota,EWS,12,12,0,1.0,1765,2018.0,2388.0,2777.25,3021
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),200510,"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH",Open Seat Quota,OBC,32,32,0,1.0,1353,1699.5,1844.0,1945.5,2079
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),200510,"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH",Open Seat Quota,OBC PwD,2,2,0,1.0,116794,117847.0,118900.0,119953.0,121006
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),200510,"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH",Open Seat Quota,Open,48,48,0,1.0,342,754.5,1010.0,1153.25,1314
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),200510,"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH",Open Seat Quota,Open PwD,3,3,0,1.0,59529,76694.5,93860.0,93984.5,94109
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),200510,"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH",Open Seat Quota,SC,18,18,0,1.0,4057,7505.0,9486.5,14059.25,16901
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),200510,"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH",Open Seat Quota,SC PwD,1,1,0,1.0,327534,327534.0,327534.0,327534.0,327534
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),200510,"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH",Open Seat Quota,ST,9,9,0,1.0,13644,17466.0,20333.0,21210.0,21776
